user_id,question_id,score,answer,category
4,14,1.0,3.0,Subjects
4,15,1.0,3.0,Subjects
4,16,1.0,3.0,Places
4,17,1.0,3.0,Places
4,18,1.0,3.0,Places
4,19,1.0,3.0,Places
4,20,1.0,3.0,Places
4,21,2.0,14.0,Subjects
4,22,4.0,3.0,Colours
4,23,2.0,12.0,Subjects
4,24,1.0,4.0,Colours
4,25,2.0,10.0,Abstract concepts
4,26,3.0,19.0,Places
4,27,4.0,16.0,Places
4,28,2.0,7.0,Abstract concepts
4,29,3.0,5.0,Colours
4,30,3.0,18.0,Places
4,31,4.0,16.0,Places
4,32,1.0,18.0,Places
4,33,4.0,20.0,Places
4,34,3.0,9.0,Abstract concepts
4,35,4.0,3.0,Colours
4,36,3.0,10.0,Abstract concepts
4,37,3.0,19.0,Places
4,38,3.0,6.0,Abstract concepts
4,39,3.0,5.0,Colours
4,40,3.0,20.0,Places
4,41,3.0,7.0,Abstract concepts
4,42,4.0,3.0,Colours
4,43,3.0,20.0,Places
4,44,3.0,6.0,Abstract concepts
4,45,2.0,10.0,Abstract concepts
4,46,3.0,19.0,Places
4,47,3.0,6.0,Abstract concepts
4,48,4.0,2.0,Colours
4,49,3.0,20.0,Places
4,50,2.0,8.0,Abstract concepts
4,51,4.0,16.0,Places
4,52,3.0,6.0,Abstract concepts
4,53,4.0,20.0,Places
4,54,3.0,9.0,Abstract concepts
4,55,4.0,3.0,Colours
4,56,3.0,17.0,Places
4,57,2.0,7.0,Abstract concepts
4,58,3.0,6.0,Abstract concepts
4,59,3.0,5.0,Colours
4,60,3.0,20.0,Places
5,1,1.0,3.0,Colours
5,2,1.0,3.0,Colours
5,3,1.0,1.0,Colours
5,4,1.0,2.0,Colours
5,5,1.0,3.0,Colours
5,6,1.0,3.0,Abstract concepts
5,7,1.0,4.0,Abstract concepts
5,8,1.0,4.0,Abstract concepts
5,9,1.0,2.0,Abstract concepts
5,10,1.0,4.0,Abstract concepts
5,11,1.0,3.0,Subjects
5,12,1.0,1.0,Subjects
5,13,1.0,4.0,Subjects
5,14,1.0,2.0,Subjects
5,15,1.0,4.0,Subjects
5,16,1.0,4.0,Places
5,17,1.0,2.0,Places
5,18,1.0,4.0,Places
5,19,1.0,3.0,Places
5,20,1.0,2.0,Places
5,21,3.0,7.0,Abstract concepts
5,22,2.0,11.0,Subjects
5,23,2.0,12.0,Subjects
5,24,2.0,15.0,Subjects
5,25,2.0,13.0,Subjects
5,26,2.0,4.0,Colours
5,27,4.0,16.0,Places
5,28,4.0,2.0,Colours
5,29,3.0,5.0,Colours
5,30,3.0,3.0,Colours
5,31,2.0,4.0,Colours
5,32,1.0,18.0,Places
5,33,2.0,1.0,Colours
5,34,1.0,5.0,Colours
5,35,2.0,19.0,Places
5,36,2.0,4.0,Colours
5,37,3.0,19.0,Places
5,38,4.0,18.0,Places
5,39,2.0,16.0,Places
5,40,3.0,3.0,Colours
5,41,1.0,1.0,Colours
5,42,2.0,19.0,Places
5,43,3.0,20.0,Places
5,44,3.0,6.0,Abstract concepts
5,45,2.0,17.0,Places
5,46,2.0,4.0,Colours
5,47,3.0,6.0,Abstract concepts
5,48,2.0,17.0,Places
5,49,3.0,5.0,Colours
5,50,3.0,3.0,Colours
5,51,2.0,4.0,Colours
5,52,1.0,18.0,Places
5,53,2.0,10.0,Abstract concepts
5,54,4.0,17.0,Places
5,55,2.0,19.0,Places
5,56,3.0,17.0,Places
5,57,3.0,19.0,Places
5,58,4.0,18.0,Places
5,59,2.0,16.0,Places
5,60,2.0,9.0,Abstract concepts
6,1,1.0,3.0,Colours
6,2,1.0,4.0,Colours
6,3,1.0,3.0,Colours
6,4,1.0,3.0,Colours
6,5,1.0,3.0,Colours
6,6,1.0,3.0,Abstract concepts
6,7,1.0,4.0,Abstract concepts
6,8,1.0,4.0,Abstract concepts
6,9,1.0,4.0,Abstract concepts
6,10,1.0,4.0,Abstract concepts
6,11,1.0,3.0,Subjects
6,12,1.0,3.0,Subjects
6,13,1.0,4.0,Subjects
6,14,1.0,3.0,Subjects
6,15,1.0,4.0,Subjects
6,16,1.0,4.0,Places
6,17,1.0,2.0,Places
6,18,1.0,3.0,Places
6,19,1.0,3.0,Places
6,20,1.0,3.0,Places
6,21,3.0,7.0,Abstract concepts
6,22,2.0,9.0,Abstract concepts
6,23,2.0,2.0,Colours
6,24,4.0,16.0,Places
6,25,2.0,13.0,Subjects
6,26,3.0,9.0,Abstract concepts
6,27,4.0,16.0,Places
6,28,2.0,7.0,Abstract concepts
6,29,3.0,5.0,Colours
6,30,3.0,18.0,Places
6,31,4.0,16.0,Places
6,32,4.0,2.0,Colours
6,33,4.0,20.0,Places
6,34,1.0,5.0,Colours
6,35,2.0,8.0,Abstract concepts
6,36,3.0,17.0,Places
6,37,2.0,7.0,Abstract concepts
6,38,1.0,2.0,Colours
6,39,2.0,16.0,Places
6,40,3.0,20.0,Places
6,41,1.0,1.0,Colours
6,42,4.0,3.0,Colours
6,43,2.0,2.0,Colours
6,44,4.0,16.0,Places
6,45,2.0,17.0,Places
6,46,2.0,14.0,Subjects
6,47,4.0,16.0,Places
